B1,B2,B3,B4,B5,B6,B7,B9,class
0.118297204375267,0.0941605642437935,0.0735164731740952,0.0631771385669708,0.188666924834251,0.139598309993744,0.0730669349431992,0.00159066682681441,4
0.115254186093807,0.0891810804605484,0.0709575712680817,0.0436050184071064,0.430309951305389,0.174835041165352,0.0687790513038635,0.00121029000729322,4
0.11162331700325,0.0849277749657631,0.0574714839458466,0.0363432802259922,0.188217386603355,0.0733089968562126,0.0294964965432882,0.00121029000729322,4
0.110966302454472,0.0840287059545517,0.0556733384728432,0.0346142947673798,0.146341353654862,0.0584742985665798,0.0227534510195255,0.000933652278035879,4
0.114735491573811,0.0877287313342094,0.068122036755085,0.0414610765874386,0.334385842084885,0.143263757228851,0.0532181784510613,0.00165982625912875,4
0.111000880599022,0.0842707604169846,0.0550509057939053,0.0346834547817707,0.146998360753059,0.0575060658156872,0.022788031026721,0.00107197114266455,4
0.115427084267139,0.0901147350668907,0.070438876748085,0.0444349311292172,0.440476387739181,0.181024804711342,0.0703697204589844,0.00107197114266455,4
0.115427084267139,0.0903913751244545,0.0717529058456421,0.0447115711867809,0.428719282150269,0.170789211988449,0.0660126730799675,0.00172898569144309,4
0.115150451660156,0.0895268768072128,0.070888414978981,0.0434321202337742,0.38106843829155,0.174904197454452,0.0646294876933098,0.00148692773655057,4
0.115772880613804,0.0895614624023438,0.0706809386610985,0.0444003529846668,0.441686689853668,0.172172397375107,0.0667388513684273,0.0013486088719219,4
0.111865378916264,0.0847548767924309,0.058647196739912,0.0371386148035526,0.199974492192268,0.082749255001545,0.0301880910992622,0.000795333413407206,4
0.112072855234146,0.0846857205033302,0.0589584112167359,0.036101222038269,0.207582026720047,0.0805361568927765,0.0306376274675131,0.000864492845721543,4
0.112833604216576,0.0859997496008873,0.0598920658230782,0.0382451638579369,0.274147987365723,0.109756015241146,0.0410807020962238,0.000933652278035879,4
0.111312098801136,0.0851006731390953,0.0596845857799053,0.0374152511358261,0.23783928155899,0.0951633751392365,0.0388330183923245,0.00114113057497889,4
0.111035458743572,0.0832679495215416,0.0566415712237358,0.0352713093161583,0.182165935635567,0.0751762986183167,0.0273525547236204,0.000518695684149861,4
